Artist Name,Album Title,Track Title,Record Label,Year,Genre,Style,Tag,Comment,Discogs Release ID
Alice Cooper,School's Out,Public Animal # 9,Warner Bros. Records,1972,Rock,Hard Rock,Drums,,https://www.discogs.com/release/638121
Alice Street Gang,Bahia,Brazilian Hustle,Derby,1976,Electronic,Disco,Drums,,https://www.discogs.com/release/1931162
Alicia Myers,Alicia Again,When Love Starts To Go,MCA Records,1981,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/949936
"Aliis, The",The Aliis Live,Finale,Trim Records,,Funk / Soul,Pacific,Drums,,https://www.discogs.com/release/2773195
All the People,Cramp Your Style,Cellophane Record,1983,Electronic,Italo-Disco,UBB,,https://www.discogs.com/release/699259,
Allan Rich,Allan Rich,River City Blues,Epic,1974,Rock,Soft Rock,Drums,,https://www.discogs.com/release/5374204
Allen Toussaint,Motion,The Optimism Blues,Reprise Records,2017,Funk / Soul,Rhythm & Blues,Drums,,https://www.discogs.com/release/10174667
"Alley Cats, The",Escape From The Planet Earth,After The Funeral,MCA Records,1982,Rock,Punk,Drums,,https://www.discogs.com/release/374065
Allison Durbin,Allison Durbin's Amerikan Music,Mixed Up Girl,His Master's Voice,1973,Pop,Vocal,Drums,,https://www.discogs.com/release/8444449
"Allman Brothers Band, The",The Allman Brothers Band,Black Hearted Woman,ATCO Records,1969,Rock,Blues Rock,Drums,,https://www.discogs.com/release/906904
"Allman Brothers Band, The",The Allman Brothers Band At Fillmore East,In Memory Of Elizabeth Reed,Capricorn Records,1971,Rock,Blues Rock,Drums,,https://www.discogs.com/release/2379908
Alma Y Vida,Volumen II,Para Mí No Hay Jaula,RCA Vik,1972,Jazz,Jazz-Rock,Drums,,https://www.discogs.com/release/3173939
Almendra,Almendra,A Estos Hombres Tristes,Sony Music,2015,Rock,Prog Rock,Drums,,https://www.discogs.com/release/7065476
Alphonse Mouzon,Funky Snakefoot,You Don't Know How Much I Love You,Blue Note,1974,Jazz,Fusion,UBB,,https://www.discogs.com/release/919371
Alphonse Mouzon,Distant Lover,When We Were Young,Highrise Entertainment Co.,1982,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/1374675
Alphonse Mouzon,In Search Of A Dream,"Nothing But A Party (Incl. Happy Birthday, 0:26)",MPS Records,1978,Jazz,Fusion,Drums,,https://www.discogs.com/release/1437814
Alphonse Mouzon,Mind Transplant,Ascorbic Acid,Blue Note,1975,Jazz,Jazz-Rock,Drums,,https://www.discogs.com/release/1491098
Alphonse Mouzon,The Man Incognito,New York City,Blue Note,1976,Jazz,Soul-Jazz,Drums,,https://www.discogs.com/release/276069
Alphonse Mouzon,The Sky Is The Limit,Why Don't You Break It,Pausa Records,1985,Electronic,Smooth Jazz,Drums,,https://www.discogs.com/release/1679629
Alphonse Mouzon & Larry Coryell,The 11th House,Don't Break My Funk,Pausa Records,1985,Electronic,Electro,Drums,,https://www.discogs.com/release/1022109
Alphonso Johnson,Moonshadows,Stump,Epic,1976,Jazz,Fusion,Drums,,https://www.discogs.com/release/1026913
Alphonso Johnson,Yesterday's Dreams,One To One,Epic,1976,Jazz,Jazz-Funk,Drums,,https://www.discogs.com/release/1394287
Alphonze Mouzon,Funky Snakefoot,"I've Given You My Love,  You Don't Know How Much I Love You,  Funky Snakefoot,  Oh Yes I Do,  Tara, Tara,  Where I'm Drumming From",Blue Note,1974,Jazz,Fusion,Drums,,https://www.discogs.com/release/919371
Alquin,Best Kept Secret,One More Night,Polydor,1976,Rock,Prog Rock,Drums,,https://www.discogs.com/release/1143318
Alrune Rod,Spredt For Vinden,XN,Mandragora,1973,Rock,Psychedelic Rock,Drums,,https://www.discogs.com/release/1189463
Altona,Chickenfarm,Elephant Walk,RCA Victor,1975,Jazz,Jazz-Rock,Drums,,https://www.discogs.com/release/3210852
"Alvin Darling Ensemble, The",All Together For One ,,Inspirational Sounds,1978,Funk / Soul,Gospel,Drums,,https://www.discogs.com/release/6678085
Alvin Lee,Let It Rock,Ain't Nobody,Chrysalis,1978,Rock,Hard Rock,Drums,,https://www.discogs.com/release/3087569
Always August,Geography,Flatland,SST Records,1988,Jazz,Alternative Rock,Drums,,https://www.discogs.com/release/1991689
"Alwyn Wall Band, The",The Prize,I Don’t Care,Myrrh,1977,Rock,Soft Rock,Drums,,https://www.discogs.com/release/3273532
"Amazing Rhythm Aces, The",Amazing Rhythm Aces,If You Gotta Make A Fool Of Somebody,ABC Records,1979,Rock,Country Rock,Drums,,https://www.discogs.com/release/1026203
"Amazing Rhythm Aces, The",Burning The Ballroom Down,A Jackass Gets His Oats,ABC Records,1978,Rock,Country Rock,Drums,,https://www.discogs.com/release/2533419
"Ambivalent Crowd, The",New Phases,,Sunshine,1974,Funk / Soul,,Drums,,https://www.discogs.com/release/12636592
Ambrosia,Life Beyond L.A.,Dancin' By Myself,Warner Bros. Records,1978,Rock,Pop Rock,Drums,,https://www.discogs.com/release/1173758
Ambrosia,One Eighty,No Big Deal,Warner Bros. Records,1980,Rock,Pop Rock,Drums,,https://www.discogs.com/release/1658670
America,Harbor,Slow Down,Warner Bros. Records,1977,Rock,Soft Rock,Drums,,https://www.discogs.com/release/7242248
America,Your Move,My Dear,Capitol Records,1983,Rock,Soft Rock,Drums,,https://www.discogs.com/release/1512599
American Blues,Do Their Thing,Comin' Back Home,Uni Records,1968,Rock,Blues Rock,Drums,,https://www.discogs.com/release/3774621
"American Breed, The","Pumpkin, Powder, Scarlet & Green","Cool It, (We're Not Alone), Take Me If You Want Me, Music To Think By, Train On A One-Track Mind, I'm Gonna Make You Mine",Acta Records,1968,Rock,Pop Rock,Drums,,https://www.discogs.com/release/1448334
American Peddlers,Survive,Survive,AmPed Records,1982,Rock,Southern Rock,Drums,,https://www.discogs.com/release/12941598
American Tears,Powerhouse,Last Chance For Love,Columbia,1977,Rock,Art Rock,Drums,,https://www.discogs.com/release/2716921
American Tears,Tear Gas,Charon,Columbia,1975,Rock,Hard Rock,Drums,,https://www.discogs.com/release/5456540
Amon Düül II,Almost Alive...,One Blue Morning,Nova,1977,Rock,Krautrock,Drums,,https://www.discogs.com/release/1448398
Amon Düül II,Hijack,I Can't Wait (Part 1+2),ATCO Records,1974,Rock,Prog Rock,Drums,,https://www.discogs.com/release/1525535
Amon Düül II,Yeti,Archangels Thunderbird,Liberty,1970,Electronic,Krautrock,Drums,,https://www.discogs.com/release/408907
Anamaria & Mauricio,No No No... Estamos Na Nossa,"Amém, América",Chantecler,1970,Jazz,MPB,Drums,,https://www.discogs.com/release/1790832
André Condouant,Happy Funk,Happy Funk,Disques Debs,1980,Jazz,Jazz-Funk,Drums,,https://www.discogs.com/release/3693822
André Kostelanetz And His Orchestra,For All We Know,Put Your Hand In The Hand,Columbia,1971,Pop,Ballad,Drums,,https://www.discogs.com/release/3610408
"Andrea True Connection, The","More, More, More","Keep It Up Longer, Call Me",Buddah Records,1976,Funk / Soul,Funk,Drums,,https://www.discogs.com/release/110113
Andrew Gold,All This And Heaven Too,Never Let Her Slip Away,Asylum Records,1978,Rock,Soft Rock,Drums,,https://www.discogs.com/release/2215735
"Andrew Oldham Orchestra, The",The Rolling Stones Songbook,The Last Time,Decca,2004,Pop,Classical,Drums,,https://www.discogs.com/release/3809666
Andrew White,Who Got De Funk,Day By Day,Andrew's Music,1973,Jazz,Free Funk,Drums,,https://www.discogs.com/release/1829694
Andwella,World's End,Just How Long,Dunhill,1970,Rock,Psychedelic Rock,Drums,,https://www.discogs.com/release/1819762
Andy Angel,Get More With 4,Spinning Wheel,Trio-Tex,,Jazz,,Drums,,https://www.discogs.com/release/3930023
Andy Loore,Ambiance Rythmes Vol. 5,"Enfer Et Marijuana, Opium Du Diable, Mixed Drums, Drummer Bells",Neuilly,1970,Jazz,Easy Listening,Drums,,https://www.discogs.com/release/1716560
Angel,On Earth As It Is In Heaven,"Can You Feel It, On The Rocks",Casablanca,1977,Rock,Hard Rock,Drums,,https://www.discogs.com/release/2704323
Angel,White Hot,Under Suspicion,Casablanca,1978,Rock,Glam,Drums,,https://www.discogs.com/release/8047036
Anita Baker,The Songstress,Will You Be Mine,Beverly Glen Music,1983,Jazz,Soul,Drums,,https://www.discogs.com/release/711463
Anita Ward,Songs Of Love,Make Believe Lovers,Juana,1979,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/178637
Anne Murray,Honey Wheat & Laughter,Put Your Hand In The Hand,Capitol Records,1970,Rock,Easy Listening,Drums,,https://www.discogs.com/release/2688852
Annette Brissett,Love Power,Drums,Wackie's,1983,Reggae,Reggae,Drums,,https://www.discogs.com/release/988418
Annette Peacock,The Perfect Release,Survival,Aura,1979,Electronic,Folk Rock,Drums,,https://www.discogs.com/release/640012
Ant Trip Ceremony,24 Hours,Sometimes I Wonder,Not On Label,1968,Rock,Psychedelic Rock,Drums,,https://www.discogs.com/release/6842031
Antonio Carlos Jobim,Tide,Girl From Ipanema,A&M Records,1970,Jazz,Bossanova,Drums,,https://www.discogs.com/release/1174480
Antonio Carlos Jobim,Wave,Captain Bacardi,A&M Records,1968,Jazz,Bossa Nova,Drums,,https://www.discogs.com/release/3044240
"Antonio Carlos Jobim, The Ray Brown Orchestra Arranged By Quincy Jones",Music From The Adventurers,Fat Cat Strut,Symbolic,1970,Jazz,Jazz-Funk,Drums,,https://www.discogs.com/release/2412622
Apollo 100,Melodies With A Beat,Hang On Sloopy,Young Blood International,1974,Jazz,Easy Listening,Drums,,https://www.discogs.com/release/1920999
Aposento Alto,Goodby Old Friends,Te Amo,Windeco Productions,1978,Latin,Gospel,Drums,,https://www.discogs.com/release/3172988
"Apostles, The",The Apostles,Never Too Late,EMI,1976,Rock,Funk,Drums,,https://www.discogs.com/release/1498177
April Wine,April Wine,Time,Aquarius Records,1971,Rock,Psychedelic Rock,Drums,,https://www.discogs.com/release/2520666
April Wine,Harder.....Faster,Say Hello,Aquarius Records,1979,Rock,Hard Rock,Drums,,https://www.discogs.com/release/434284
April Wine,On Record,Drop Your Guns,Aquarius Records,1972,Rock,Hard Rock,Drums,,https://www.discogs.com/release/2042514
Aquarius Band,Aquarius Band,Sultana,Continental,1971,Rock,Rock & Roll,Drums,,https://www.discogs.com/release/4350073
Aquila,Aquila,"How Many More Times, The Aquila Suite: First Movement: Aquila (Introduction), Flight Of The Golden Bird",RCA Victor,1970,Rock,Prog Rock,Drums,,https://www.discogs.com/release/3745252
Archie Bell & The Drells,Strategy,I Can't Get Enough Of Your Love,Rhino Records,1994,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/3192166
Arco Iris,Los Elementales (Fuerzas Magicas De La Naturaleza),Necksa (Maestro-Mago De Las Ondinas),Cabal,1977,Rock,Jazz-Rock,Drums,,https://www.discogs.com/release/3169727
Area,Tic & Tac,Tic & Tac,Ascolto,1980,Jazz,Jazz-Rock,Drums,,https://www.discogs.com/release/1203125
Area Code 615,Trip In The Country,Stone Fox Chase,Polydor,1974,Rock,Folk Rock,Drums,,https://www.discogs.com/release/3431169
Arena,Arena,"The Long One, Turkish Defunked",Crystal Clear,1975,Jazz,Fusion,Drums,,https://www.discogs.com/release/4243212
Aretha,Jump To It,Jump To It,Arista,1982,Electronic,Rhythm & Blues,Drums,,https://www.discogs.com/release/825615
Aretha,Who's Zoomin' Who?,"Freeway Of Love,  Who's Zoomin' Who,  Until You Say You Love Me",Arista,1985,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/1456514
Aretha Franklin,Aretha Now,You're A Sweet Sweet Man,Atlantic,1968,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/813990
Aretha Franklin,Get It Right,Every Girl (Wants My Guy),Arista,1983,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/452045
Aretha Franklin,"Young, Gifted And Black",Rock Steady,Atlantic,1972,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/517807
Argent,Counterpoints,Be Strong,RCA Victor,1975,Rock,Prog Rock,Drums,,https://www.discogs.com/release/1787494
Ariel,Rock And Roll Scars,"Launching Place, I'll Be Going [a.k.a.] I'll Be Going/I'll Be Gone",Harvest,1975,Rock,,Drums,,https://www.discogs.com/release/6512573
Arif Mardin,Glass Onion,Mary Ann,Atlantic,1969,Jazz,Big Band,Drums,,https://www.discogs.com/release/2431943
Arif Mardin,Journey,Dark Alleys,Atlantic,1974,Jazz,Soul-Jazz,Drums,,https://www.discogs.com/release/1164576
Ark,Voyages,Sea Of Life,Not on label,1978,Rock,Psychedelic Rock,Drums,,https://www.discogs.com/release/6490940
"Armageddon Experience, The",The Armageddon Experience,,MM Records,1970,Rock,Gospel,Drums,,https://www.discogs.com/release/2647498
Armando Tirelli,El Profeta,Hablanos Del Amor,SEM Label,1978,Rock,Prog Rock,Drums,,https://www.discogs.com/release/7597798
Armando Trovaioli,"Brutti, Sporchi E Cattivi (Colonna Sonora Originale)",Brutti Sporchi E Cattivi,RCA,1976,Stage & Screen,Soundtrack,Drums,,https://www.discogs.com/release/4435963
Armin Rusch,Beat Für Verliebte,Moon Morning,Rex Records,1969,Jazz,,Drums,,https://www.discogs.com/release/2892640
Arp-Life,Jumbo Jet,Bu-Bu,Polskie Nagrania Muza,1977,Electronic,Synth-pop,Drums,,https://www.discogs.com/release/986312
Arrogance,Rumors,I Doubt It,Vanguard,1976,Rock,,Drums,,https://www.discogs.com/release/2271006
"Arrows Featuring Davie Allan, The",Cycle-Delic Sounds,,Tower,1968,Rock,Surf,Drums,,https://www.discogs.com/release/2907915
"Arrows, The",Stand Back,,A&M Records,1984,Electronic,Pop Rock,Drums,,https://www.discogs.com/release/2224889
Art,Supernatural Fairy Tales,African Thing,Island Records,1967,Rock,Psychedelic Rock,Drums,,https://www.discogs.com/release/1380897
"Art Reynolds Singers, The",The Soul-Gospel Sounds Of The Art Reynolds Singers,,Capitol Records,1968,Funk / Soul,Gospel,Drums,,https://www.discogs.com/release/2652465
"Artistics, The",The Articulate Artistics,Hard To Carry On,Brunswick,1968,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/2535044
Asahi,The Rising Sun,Communication,Waterland Productions,1978,Electronic,Fusion,Drums,,https://www.discogs.com/release/2279068
Asha Puthli,Asha Puthli,Right Down There,CBS,1974,Funk / Soul,Soul,Drums,,https://www.discogs.com/release/1170667
"Ashton, Gardner + Dyke","The Worst  Of Ashton, Gardner + Dyke.",Let It Roll,Capitol Records,1971,Rock,Blues Rock,Drums,,https://www.discogs.com/release/3579696
Assagai,Assagai,"Telephone Girl, Akasa",Vertigo,1971,Rock,Afrobeat,Drums,,https://www.discogs.com/release/1389978
Assemblage,Album,It's Not Easy,Hansa,1981,Electronic,Art Rock,Drums,,https://www.discogs.com/release/27720
Asterix,Asterix,Broken Home,Decca,1970,Rock,Hard Rock,Drums,,https://www.discogs.com/release/3719482
Astral Sounds,Groove Tube,Snap Happy,Music De Wolfe,1979,Electronic,Fusion,Drums,,https://www.discogs.com/release/1176276
Astrud Gilberto,Beach Samba,Stay,Polydor,1984,Jazz,Bossa Nova,Drums,,https://www.discogs.com/release/381773
Astrud Gilberto,Now,General Da Banda,Perception Records,1972,Jazz,Bossanova,Drums,,https://www.discogs.com/release/1135662
